No.,Stasiun,Datang,Berangkat,Keterangan
1,Yogyakarta (YK),,07:00:00,
2,Patukan (PTN),Ls,07:05:00,
3,Rewulu (RWL),Ls,07:08:00,
4,Sentolo (STL),Ls,07:14:00,
5,Wates (WT),07:23:00,07:25:00,
6,Kedundang (KDG),Ls,07:31:00,
7,Wojo (WJ),Ls,07:36:00,
8,Jenar (JN),Ls,07:41:00,
9,Kutoarjo (KTA),07:51:00,07:54:00,
10,Butuh (BTH),Ls,07:59:00,
11,Prembun (PRB),Ls,08:03:00,
12,Kutowinangun (KWN),Ls,08:07:00,
13,Wonosari (WNS),Ls,08:09:00,
14,Kebumen (KM),08:14:00,08:16:00,
15,Sruweng (SRW),Ls,08:23:00,
16,Karanganyar (KA),Ls,08:25:00,
17,Gombong (GB),08:32:00,08:46:00,= KA 43 (KA 43 //)
18,Ijo (IJ),Ls,08:53:00,
19,Tambak (TBK),Ls,08:56:00,
20,Sumpiuh (SPH),Ls,08:59:00,
21,Kemranjen (KJ),Ls,09:02:00,
22,Kroya (KYA),09:08:00,09:10:00,
23,Randegan (RDN),Ls,09:17:00,
24,Kebasen (KBS),Ls,09:20:00,
25,Notog (NTG),Ls,09:25:00,
26,Purwokerto (PWT),09:33:00,09:38:00,
27,Karanggandul (KGD),Ls,09:46:00,
28,Karangsari (KRR),Ls,09:55:00,
29,Patuguran (PAT),Ls,10:06:00,
30,Kretek (KRT),Ls,10:12:00,
31,Bumiayu (BMA),10:20:00,10:22:00,
32,Linggapura (LG),Ls,10:31:00,
33,Prupuk (PPK),Ls,10:41:00,
34,Songgom (SGG),Ls,10:48:00,
35,Larangan (LRA),Ls,10:51:00,
36,Ketanggungan (KGG),Ls,10:56:00,
37,Ciledug (CLD),11:06:00,11:08:00,
38,Sindanglaut (SDU),Ls,11:18:00,
39,Luwung (LWG),Ls,11:23:00,
40,Cirebon Prujakan (CNP),Ls,11:28:00,
41,Cirebon (CN),11:31:00,11:36:00,
42,Cangkring (CNK),Ls,11:43:00,
43,Bangoduwa (BDW),Ls,11:46:00,
44,Arjawinangun (AWN),Ls,11:49:00,// KA 2521 (KA 2521 =)
45,Kertasemaya (KTM),Ls,11:58:00,
46,Jatibarang (JTB),12:04:00,12:06:00,
47,Telagasari (TLS),Ls,12:13:00,
48,Terisi (TIS),12:19:00,12:21:00,
49,Kadokangabus (KAB),Ls,12:26:00,
50,Cilegeh (CLH),Ls,12:31:00,
51,Haurgeulis (HGL),12:38:00,12:40:00,
52,Cipunegara (CRA),Ls,12:45:00,
53,Pegadenbaru (PGB),Ls,12:50:00,
54,Cikaum (CKM),Ls,12:55:00,// KA 2501 (KA 2501 =)
55,Pasirbungur (PAS),Ls,12:58:00,
56,Pringkasap (PRI),Ls,13:02:00,
57,Pabuaran (PAB),Ls,13:05:00,
58,Tanjungrasa (TJS),Ls,13:08:00,
59,Cikampek (CKP),Ls,13:15:00,
60,Dawuan (DWN),Ls,13:18:00,
61,Kosambi (KOS),Ls,13:22:00,
62,Klari (KLI),Ls,13:24:00,
63,Karawang (KW),Ls,13:28:00,
64,Kedunggedeh (KDH),Ls,13:32:00,
65,Lemahabang (LMB),Ls,13:38:00,
66,Cikarang (CKR),Ls,13:41:00,
67,Telaga Murni (TLM),Ls,-,
68,Cibitung (CIT),Ls,-,
69,Tambun (TB),Ls,13:48:00,// KA 5119 (KA 5119 =)
70,Bekasitimur (BKST),Ls,-,
71,Bekasi (BKS),13:53:00,13:55:00,
72,Jatinegara (JNG),14:07:00,14:09:00,
73,Pondokjati (POK),Ls,-,
74,Kramat (KMT),Ls,-,
75,Gangsentiong (GST),Ls,-,
76,Pasarsenen (PSE),14:20:00,,
