No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabaya Pasarturi (SBI),,12:05:00,
2,Tandes (TES),Ls,12:10:00,
3,Kandangan (KDA),Ls,12:12:00,
4,Benowo (BNW),Ls,12:15:00,
5,Cerme (CME),Ls,12:18:00,
6,Duduk (DD),Ls,12:24:00,
7,Lamongan (LMG),Ls,12:32:00,
8,Surabayan (SBN),Ls,12:37:00,
9,Pucuk (PC),Ls,12:43:00,
10,Gembong (GEB),Ls,12:47:00,
11,Babat (BBT),Ls,12:52:00,
12,Bowerno (BWO),Ls,12:58:00,
13,Sumberrejo (SRJ),Ls,13:06:00,
14,Kapas (KPS),Ls,13:11:00,
15,Bojonegoro (BJ),13:18:00,13:21:00,
16,Kalitidu (KIT),Ls,13:31:00,
17,Tobo (TBO),Ls,13:40:00,
18,Cepu (CU),13:47:00,13:50:00,
19,Kapuan (KPA),Ls,13:55:00,
20,Wadu (WDU),Ls,13:59:00,
21,Randublatung (RBG),Ls,14:06:00,
22,Doplang (DPL),Ls,14:15:00,
23,Sulur (SL),Ls,14:20:00,
24,Kradenan (KNN),Ls,14:26:00,
25,Panunggalan (PNL),Ls,14:33:00,
26,Jambon (JBN),Ls,14:36:00,
27,Gambringan (GBN),Ls,14:42:00,
28,Ngrombo (NBO),Ls,14:44:00,
29,Sedadi (SDI),Ls,14:47:00,
30,Karangjati (KGT),Ls,14:52:00,
31,Gubug (GUB),Ls,14:59:00,
32,Tegowanu (TGW),Ls,15:03:00,
33,Brumbung (BBG),Ls,15:08:00,
34,Alastua (ATA),Ls,15:12:00,
35,Semarang Tawang (SMT),15:20:00,15:32:00,
36,Semarang Poncol (SMC),Ls,15:37:00,
37,Jerakah (JRK),Ls,15:41:00,
38,Mangkang (MKG),Ls,15:45:00,
39,Kaliwungu (KLN),Ls,15:48:00,
40,Kalibodri (KBD),Ls,15:56:00,
41,Weleri (WLR),Ls,16:02:00,
42,Krengseng (KNS),Ls,16:05:00,
43,Plabuan (PLB),Ls,16:11:00,
44,Kuripan (KRP),Ls,16:16:00,
45,Ujungnegoro (UJN),Ls,16:24:00,
46,Batang (BTG),Ls,16:28:00,// KA 2519 (KA 2519 =)
47,Pekalongan (PK),16:36:00,16:39:00,
48,Sragi (SRI),Ls,16:48:00,
49,Comal (CO),Ls,16:51:00,
50,Petarukan (PTA),Ls,16:58:00,
51,Pemalang (PML),Ls,17:03:00,
52,Surodadi (SD),Ls,17:10:00,
53,Larangan (LR),Ls,17:17:00,
54,Tegal (TG),17:23:00,17:26:00,
55,Brebes (BB),Ls,17:35:00,
56,Tanjung (TGN),Ls,17:47:00,
57,Losari (LOS),Ls,17:52:00,// KA 2523 (KA 2523 =)
58,Babakan (BBK),Ls,17:57:00,
59,Waruduwur (WDW),Ls,18:05:00,
60,Cirebon Prujakan (CNP),Ls,18:12:00,
61,Cirebon (CN),18:16:00,18:35:00,= KA 47 (KA 47 //)
62,Cangkring (CNK),Ls,18:41:00,
63,Bangoduwa (BDW),Ls,18:45:00,
64,Arjawinangun (AWN),Ls,18:48:00,// KA 2509 (KA 2509 =)
65,Kertasemaya (KTM),Ls,18:57:00,
66,Jatibarang (JTB),Ls,19:02:00,
67,Telagasari (TLS),Ls,19:09:00,
68,Terisi (TIS),Ls,19:14:00,
69,Kadokangabus (KAB),Ls,19:18:00,
70,Cilegeh (CLH),Ls,19:23:00,
71,Haurgeulis (HGL),Ls,19:29:00,
72,Cipunegara (CRA),Ls,19:33:00,
73,Pegadenbaru (PGB),Ls,19:37:00,
74,Cikaum (CKM),Ls,19:42:00,
75,Pasirbungur (PAS),Ls,19:45:00,
76,Pringkasap (PRI),Ls,19:49:00,
77,Pabuaran (PAB),Ls,19:52:00,
78,Tanjungrasa (TJS),Ls,19:55:00,
79,Cikampek (CKP),Ls,20:02:00,
80,Dawuan (DWN),Ls,20:05:00,
81,Kosambi (KOS),Ls,20:09:00,
82,Klari (KLI),Ls,20:11:00,
83,Karawang (KW),Ls,20:15:00,
84,Kedunggedeh (KDH),Ls,20:19:00,
85,Lemahabang (LMB),Ls,20:24:00,
86,Cikarang (CKR),Ls,20:27:00,
87,Telaga Murni (TLM),Ls,-,
88,Cibitung (CIT),Ls,-,
89,Tambun (TB),Ls,20:34:00,
90,Bekasitimur (BKST),Ls,-,
91,Bekasi (BKS),20:40:00,20:42:00,
92,Jatinegara (JNG),20:54:00,20:56:00,
93,Matraman (MTR),Ls,-,
94,Manggarai (MRI),Ls,21:01:00,
95,Cikini (CKI),Ls,-,
96,Gondangdia (GDD),Ls,-,
97,Gambir (GMR),21:10:00,,
