No.,station_name,station_code,arrival_time,departure_time,notes
1,GAMBIR,GMR,,07:00:00,
2,GONDANGDIA,GDD,,-,
3,CIKINI,CKI,,-,
4,MANGGARAI,MRI,,07:09:00,
5,MATRAMAN,MTR,,-,
6,JATINEGARA,JNG,,07:15:00,
7,BEKASI,BKS,07:26:00,07:28:00,
8,BEKASITIMUR,BKST,,-,
9,TAMBUN,TB,,07:33:00,
10,CIBITUNG,CIT,,-,
11,TELAGA MURNI,TLM,,-,
12,CIKARANG,CKR,,07:40:00,
13,LEMAHABANG,LMB,,07:43:00,
14,KEDUNGGEDEH,KDH,,07:49:00,
15,KARAWANG,KW,,07:53:00,
16,KLARI,KLI,,07:57:00,
17,KOSAMBI,KOS,,07:59:00,
18,DAWUAN,DWN,,08:03:00,
19,CIKAMPEK,CKP,,08:06:00,
20,TANJUNGRASA,TJS,,08:13:00,
21,PABUARAN,PAB,,08:16:00,
22,PRINGKASAP,PRI,,08:19:00,
23,PASIRBUNGUR,PAS,,08:23:00,
24,CIKAUM,CKM,,08:26:00,
25,PEGADENBARU,PGB,,08:31:00,
26,CIPUNEGARA,CRA,,08:35:00,
27,HAURGEULIS,HGL,,08:39:00,
28,CILEGEH,CLH,,08:45:00,
29,KADOKANGABUS,KAB,,08:50:00,
30,TERISI,TIS,,08:54:00,
31,TELAGASARI,TLS,,08:59:00,
32,JATIBARANG,JTB,,09:05:00,
33,KERTASEMAYA,KTM,,09:10:00,
34,ARJAWINANGUN,AWN,,09:19:00,
35,BANGODUWA,BDW,,09:23:00,
36,CANGKRING,CNK,,09:26:00,
37,CIREBON,CN,09:32:00,09:37:00,
38,CIREBON PRUJAKAN,CNP,,09:40:00,
39,LUWUNG,LWG,,09:45:00,
40,SINDANGLAUT,SDU,,09:49:00,
41,CILEDUG,CLD,,09:58:00,
42,KETANGGUNGAN,KGG,,10:07:00,
43,LARANGAN,LRA,,10:12:00,
44,SONGGOM,SGG,,10:16:00,
45,PRUPUK,PPK,,10:24:00,
46,LINGGAPURA,LG,,10:34:00,
47,BUMIAYU,BMA,10:43:00,10:45:00,
48,KRETEK,KRT,,10:53:00,
49,PATUGURAN,PAT,,10:59:00,
50,KARANGSARI,KRR,,11:10:00,
51,KARANGGANDUL,KGD,,11:18:00,
52,PURWOKERTO,PWT,11:26:00,11:31:00,
53,NOTOG,NTG,,11:39:00,
54,KEBASEN,KBS,,11:44:00,
55,RANDEGAN,RDN,,11:47:00,
56,KROYA,KYA,11:54:00,12:14:00,
