No.,station_name,station_code,arrival_time,departure_time,notes
1,BANDUNG,BD,,09:30:00,
2,CIKUDAPATEUH,CTH,,-,
3,KIARACONDONG,KAC,09:39:00,09:42:00,
4,GEDEBAGE,GDB,,09:49:00,
5,CIMEKAR,CMK,,-,
6,RANCAEKEK,RCK,,09:55:00,// KA 392 (KA 392 =)
7,HAURPUGUR,HRP,,09:59:00,
8,CICALENGKA,CCL,,10:02:00,
9,NAGREG,NG,,10:15:00,
10,LEBAKJERO,LBJ,,10:23:00,
11,LELES,LL,10:33:00,10:35:00,
12,KARANGSARI,KRAI,,10:41:00,
13,LEUWIGOONG,LO,,-,
14,CIBATU,CB,,10:49:00,
15,WARUNGBANDREK,WB,,10:56:00,
16,BUMIWALUYA,BMW,,11:08:00,
17,CIPEUNDEUY,CPD,11:20:00,11:30:00,X KA 283 (KA 283 X)
18,CIRAHAYU,CAA,,11:43:00,
19,CIAWI,CAW,,11:50:00,
20,RAJAPOLAH,RJP,,11:58:00,
21,INDIHIANG,IH,,12:04:00,
22,TASIKMALAYA,TSM,12:09:00,12:12:00,
23,AWIPARI,AW,,12:19:00,X KA 77 (KA 77 X)
24,MANONJAYA,MNJ,,12:22:00,
25,CIAMIS,CI,12:33:00,12:35:00,
26,BOJONG,BJG,,12:43:00,
27,KARANGPUCUNG,KNP,,12:50:00,
28,BANJAR,BJR,12:56:00,13:01:00,
29,LANGEN,LN,,13:09:00,X KA 291 (KA 291 X)
30,MELUWUNG,MLW,,13:14:00,
31,CIPARI,CPI,,13:19:00,
32,SIDAREJA,SDR,13:25:00,13:27:00,X KA 275 (KA 275 X)
33,GANDRUNGMANGUN,GDM,,13:34:00,
34,KAWUNGANTEN,KWG,13:41:00,13:50:00,X KA 69 (KA 69 X)
35,JERUKLEGI,JRL,14:03:00,14:11:00,X KA 9 (KA 9 X)
36,LEBENG,LBG,,14:16:00,
37,KASUGIHAN,KH,,14:19:00,
38,MAOS,MA,14:22:00,14:24:00,
39,SIKAMPUH,SKP,,14:30:00,
40,KROYA,KYA,14:36:00,14:39:00,
41,KEMRANJEN,KJ,,14:45:00,
42,SUMPIUH,SPH,,14:48:00,
43,TAMBAK,TBK,,14:51:00,
44,IJO,IJ,,14:54:00,
45,GOMBONG,GB,15:01:00,15:03:00,
46,KARANGANYAR,KA,,15:10:00,
47,SRUWENG,SRW,,15:12:00,
48,KEBUMEN,KM,15:20:00,15:22:00,
49,WONOSARI,WNS,,15:27:00,
50,KUTOWINANGUN,KWN,,15:29:00,
51,PREMBUN,PRB,,15:33:00,
52,BUTUH,BTH,,15:37:00,
53,KUTOARJO,KTA,15:42:00,15:45:00,
54,JENAR,JN,,15:54:00,
55,WOJO,WJ,,15:59:00,
56,KEDUNDANG,KDG,,16:03:00,
57,WATES,WT,,16:07:00,
58,SENTOLO,STL,,16:15:00,
59,REWULU,RWL,,16:22:00,
60,PATUKAN,PTN,,16:25:00,
61,YOGYAKARTA,YK,16:30:00,16:35:00,
62,LEMPUYANGAN,LPN,,16:38:00,
63,MAGUWO,MGW,,16:42:00,
64,BRAMBANAN,BBN,,16:46:30,
65,SROWOT,SWT,,16:50:00,
66,KLATEN,KT,16:55:00,16:57:00,
67,CEPER,CE,,17:04:00,
68,DELANGGU,DL,,17:08:00,// KA 726 (KA 726 =)
69,GAWOK,GW,,17:11:00,
70,PURWOSARI,PWS,,17:15:00,
71,SOLOBALAPAN,SLO,17:19:00,17:22:00,
72,SOLOJEBRES,SK,,17:26:00,
73,PALUR,PL,,17:29:00,
74,KEMIRI,KMR,,17:32:00,
75,MASARAN,MSR,,17:37:00,
76,SRAGEN,SR,17:45:00,17:47:00,
77,KEBONROMO,KRO,,17:52:00,
78,KEDUNGBANTENG,KDB,,17:56:00,
79,WALIKUKUN,WK,,18:04:00,
80,KEDUNGGALAR,KG,,18:09:00,
81,NGAWI,NGW,18:16:00,18:18:00,
82,GENENG,GG,,18:24:00,
83,MAGETAN,MAG,,18:30:00,
84,MADIUN,MN,18:39:00,18:45:00,
85,BABADAN,BBD,,18:51:00,
86,CARUBAN,CRB,,18:56:00,
87,SARADAN,SRD,,19:02:00,
88,BAGOR,BGR,,19:13:00,
89,NGANJUK,NJ,19:19:00,19:21:00,
90,SUKOMORO,SKM,,19:26:00,
91,BARON,BRN,,19:33:00,
92,KERTOSONO,KTS,19:40:00,19:42:00,
93,PURWOASRI,PWA,,19:49:00,
94,PAPAR,PPR,,19:53:00,X KA 429 (KA 429 X)
95,MINGGIRAN,MGN,,19:56:00,
96,SUSUHAN,SS,,19:59:00,X KA 301 (KA 301 X)
97,KEDIRI,KD,20:04:00,20:10:00,X KA 245 (KA 245 X)
98,NGADILUWIH,NDL,,20:17:00,
99,KRAS,KRS,,20:21:00,
100,NGUJANG,NJG,,20:25:00,
101,TULUNGAGUNG,TA,20:31:00,20:34:00,
102,SUMBERGEMPOL,SBL,,20:39:00,
103,NGUNUT,NT,,20:43:00,
104,REJOTANGAN,RJ,,20:47:00,
105,BLITAR,BL,20:56:00,21:02:00,"X KA 169 (KA 169 X) 
// KA 408 (KA 408 =)"
