0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Kutoarjo (KTA),,06:30:00,
2,Butuh (BTH),Ls,06:35:00,
3,Prembun (PRB),Ls,06:39:00,
4,Kutowinangun (KWN),Ls,06:43:00,
,5  Wonosari (WNS),Ls,06:45:00,
6,Kebumen (KM),06:50:00,06:52:00,
7,Sruweng (SRW),Ls,06:59:00,
8,Karanganyar (KA),07:03:00,07:05:00,
9,Gombong (GB),07:14:00,07:16:00,
10,Ijo (IJ),Ls,07:22:00,
11,Tambak (TBK),Ls,07:25:00,
12,Sumpiuh (SPH),07:29:00,07:31:00,
13  Kemranjen (KJ),,Ls,07:35:00,
14  Kroya (KYA),,07:41:00,07:44:00,
15  Randegan (RDN),,Ls,07:51:00,
16  Kebasen (KBS),,Ls,07:54:00,
17  Notog (NTG),,Ls,07:59:00,
18,Purwokerto (PWT),08:07:00,08:12:00,
,19  Karanggandul (KGD),Ls,08:20:00,
20  Karangsari (KRR),,Ls,08:29:00,
21,Patuguran (PAT),Ls,08:40:00,
22  Kretek (KRT),,Ls,08:46:00,
23  Bumiayu (BMA),,08:54:00,08:56:00,
24,Linggapura (LG),Ls,09:05:00,
25,Prupuk (PPK),Ls,09:15:00,
26,Songgom (SGG),Ls,09:23:00,
27,Larangan (LRA),Ls,09:27:00,
,28  Ketanggungan (KGG),Ls,09:32:00,
29  Ciledug (CLD),,Ls,09:41:00,
30,Sindanglaut (SDU),Ls,09:50:00,
31,Luwung (LWG),Ls,09:55:00,
,32  Cirebon Prujakan (CNP),Ls,10:00:00,
33  Cirebon (CN),,10:03:00,10:08:00,
34  Cangkring (CNK),,Ls,10:14:00,
35  Bangoduwa (BDW),,Ls,10:17:00,
,36  Arjawinangun (AWN),Ls,10:20:00,// KA 2501 (KA 2501 =)
,37  Kertasemaya (KTM),Ls,10:29:00,
38,Jatibarang (JTB),Ls,10:34:00,
39,Telagasari (TLS),Ls,10:40:00,
40,Terisi (TIS),Ls,10:45:00,
,41  Kadokangabus (KAB),Ls,10:49:00,
42  Cilegeh (CLH),,Ls,10:54:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
43  Haurgeulis (HGL),,Ls,11:00:00,
44  Cipunegara (CRA),,Ls,11:04:00,
45,Pegadenbaru (PGB),Ls,11:09:00,
46  Cikaum (CKM),,Ls,11:14:00,
47,Pasirbungur (PAS),Ls,11:18:00,
48,Pringkasap (PRI),Ls,11:22:00,
49,Pabuaran (PAB),Ls,11:25:00,
50,Tanjungrasa (TJS),Ls,11:28:00,
51  Cikampek (CKP),,Ls,11:35:00,
52  Dawuan (DWN),,Ls,11:38:00,
53  Kosambi (KOS),,Ls,11:42:00,
54  Klari (KLI),,Ls,11:44:00,
55  Karawang (KW),,Ls,11:48:00,
,56  Kedunggedeh (KDH),Ls,11:52:00,// KA 329 (KA 329 =)
57,Lemahabang (LMB),Ls,11:58:00,
58  Cikarang (CKR),,Ls,12:01:00,
59,Telaga Murni (TLM),Ls,-,
60  Cibitung (CIT),,Ls,-,
61,Tambun (TB),Ls,12:08:00,
,62  Bekasitimur (BKST),Ls,-,
63  Bekasi (BKS),,12:14:00,12:16:00,
64,Jatinegara (JNG),12:28:00,12:30:00,
65,Pondokjati (POK),Ls,-,
66  Kramat (KMT),,Ls,-,
,67  Gangsentiong (GST),Ls,-,
68,Pasarsenen (PSE),12:40:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,13:15:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),Ls,13:25:00,
6,Bekasi (BKS),13:36:00,13:38:00,
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,13:44:00,
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11  Cikarang (CKR),,Ls,13:51:00,
12,Lemahabang (LMB),Ls,13:54:00,// KA 2524 (KA 2524 =)
,13  Kedunggedeh (KDH),Ls,13:59:00,
14  Karawang (KW),,Ls,14:03:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
15  Klari (KLI),,Ls,14:07:00,
16  Kosambi (KOS),,Ls,14:09:00,// KA 332 (KA 332 =)
17  Dawuan (DWN),,Ls,14:13:00,
18  Cikampek (CKP),,Ls,14:17:00,
19,Tanjungrasa (TJS),Ls,14:24:00,
20,Pabuaran (PAB),Ls,14:27:00,
21,Pringkasap (PRI),Ls,14:30:00,
22,Pasirbungur (PAS),Ls,14:34:00,
23  Cikaum (CKM),,Ls,14:37:00,
24,Pegadenbaru (PGB),Ls,14:42:00,
25  Cipunegara (CRA),,Ls,14:46:00,// KA 2522 (KA 2522 =)
26  Haurgeulis (HGL),,Ls,14:50:00,
27  Cilegeh (CLH),,Ls,14:56:00,
,28  Kadokangabus (KAB),Ls,15:01:00,
29,Terisi (TIS),Ls,15:05:00,
30,Telagasari (TLS),Ls,15:10:00,
31,Jatibarang (JTB),Ls,15:16:00,
,32  Kertasemaya (KTM),Ls,15:22:00,
,33  Arjawinangun (AWN),Ls,15:31:00,
34  Bangoduwa (BDW),,Ls,15:35:00,
35  Cangkring (CNK),,Ls,15:39:00,
36  Cirebon (CN),,15:45:00,15:50:00,
,37  Cirebon Prujakan (CNP),Ls,15:53:00,
38,Luwung (LWG),Ls,15:58:00,
39,Sindanglaut (SDU),Ls,16:02:00,
40  Ciledug (CLD),,Ls,16:11:00,
,41  Ketanggungan (KGG),Ls,16:20:00,
42,Larangan (LRA),Ls,16:25:00,
43,Songgom (SGG),Ls,16:29:00,
44,Prupuk (PPK),Ls,16:37:00,
45,Linggapura (LG),Ls,16:46:00,
46  Bumiayu (BMA),,16:55:00,16:57:00,
47  Kretek (KRT),,Ls,17:06:00,
48,Patuguran (PAT),Ls,17:12:00,
49  Karangsari (KRR),,Ls,17:23:00,
,50  Karanggandul (KGD),Ls,17:31:00,
51,Purwokerto (PWT),17:39:00,17:44:00,
52  Notog (NTG),,Ls,17:52:00,
53  Kebasen (KBS),,Ls,17:57:00,
54  Randegan (RDN),,Ls,18:00:00,
55  Kroya (KYA),,18:06:00,18:08:00,// KA 236F JJ (KA 236 =)
56  Kemranjen (KJ),,Ls,18:14:00,
57,Sumpiuh (SPH),Ls,18:17:00,
58,Tambak (TBK),Ls,18:20:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
59,Ijo (IJ),Ls,18:23:00,
60  Gombong (GB),,18:29:00,18:31:00,
61  Karanganyar (KA),,18:40:00,18:42:00,
62,Sruweng (SRW),Ls,18:45:00,
63  Kebumen (KM),,18:52:00,18:54:00,
64  Wonosari (WNS),,Ls,18:59:00,
,65  Kutowinangun (KWN),Ls,19:01:00,
66,Prembun (PRB),Ls,19:05:00,
67  Butuh (BTH),,Ls,19:09:00,
68  Kutoarjo (KTA),,19:15:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Kutoarjo (KTA),,20:15:00,
2,Butuh (BTH),Ls,20:20:00,
3,Prembun (PRB),Ls,20:24:00,
4,Kutowinangun (KWN),Ls,20:28:00,
,5  Wonosari (WNS),Ls,20:31:00,
6,Kebumen (KM),20:35:00,20:37:00,
7,Sruweng (SRW),Ls,20:44:00,
8,Karanganyar (KA),20:47:00,20:49:00,
9,Gombong (GB),20:57:00,20:59:00,
10,Ijo (IJ),Ls,21:05:00,
11,Tambak (TBK),Ls,21:08:00,
12,Sumpiuh (SPH),21:13:00,21:15:00,
13  Kemranjen (KJ),,Ls,21:19:00,
14  Kroya (KYA),,21:25:00,21:28:00,
15  Randegan (RDN),,Ls,21:35:00,
16  Kebasen (KBS),,Ls,21:38:00,
17  Notog (NTG),,Ls,21:43:00,
18,Purwokerto (PWT),21:52:00,21:57:00,
,19  Karanggandul (KGD),Ls,22:05:00,
20  Karangsari (KRR),,Ls,22:14:00,
21,Patuguran (PAT),Ls,22:25:00,
22  Kretek (KRT),,Ls,22:31:00,
23  Bumiayu (BMA),,22:39:00,22:41:00,
24,Linggapura (LG),Ls,22:50:00,
25,Prupuk (PPK),Ls,23:00:00,
26,Songgom (SGG),Ls,23:07:00,
27,Larangan (LRA),Ls,23:11:00,
,28  Ketanggungan (KGG),Ls,23:16:00,
29  Ciledug (CLD),,Ls,23:25:00,
30,Sindanglaut (SDU),Ls,23:34:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
31,Luwung (LWG),Ls,23:39:00,
,32  Cirebon Prujakan (CNP),Ls,23:44:00,
33  Cirebon (CN),,23:47:00,23:52:00,
34  Cangkring (CNK),,Ls,23:59:00,
35  Bangoduwa (BDW),,Ls,00:02:00,
,36  Arjawinangun (AWN),Ls,00:05:00,
,37  Kertasemaya (KTM),Ls,00:14:00,
38,Jatibarang (JTB),Ls,00:19:00,
39,Telagasari (TLS),Ls,00:25:00,
40,Terisi (TIS),Ls,00:30:00,
,41  Kadokangabus (KAB),Ls,00:34:00,
42  Cilegeh (CLH),,Ls,00:39:00,
43  Haurgeulis (HGL),,Ls,00:45:00,
44  Cipunegara (CRA),,Ls,00:49:00,
45,Pegadenbaru (PGB),Ls,00:54:00,
46  Cikaum (CKM),,Ls,00:59:00,
47,Pasirbungur (PAS),Ls,01:03:00,
48,Pringkasap (PRI),Ls,01:07:00,
49,Pabuaran (PAB),Ls,01:10:00,
50,Tanjungrasa (TJS),Ls,01:13:00,
51  Cikampek (CKP),,Ls,01:20:00,
52  Dawuan (DWN),,Ls,01:23:00,
53  Kosambi (KOS),,Ls,01:27:00,
54  Klari (KLI),,Ls,01:29:00,
55  Karawang (KW),,Ls,01:33:00,// KA 251 (KA 251 =)
,56  Kedunggedeh (KDH),Ls,01:37:00,
57,Lemahabang (LMB),Ls,01:43:00,
58  Cikarang (CKR),,Ls,01:46:00,
59,Telaga Murni (TLM),Ls,-,
60  Cibitung (CIT),,Ls,-,
61,Tambun (TB),Ls,01:53:00,
,62  Bekasitimur (BKST),Ls,-,
63  Bekasi (BKS),,01:59:00,02:01:00,
64,Jatinegara (JNG),02:13:00,02:15:00,
