,0,1,2,3,4,5,6,7
2,1,1,KA ARGO,ARGO BROMO ANGGREK,SBI-GMR,09:10:00,16:55:00,2
3,2,2,KA ARGO,ARGO BROMO ANGGREK,GMR-SBI,08:20:00,16:05:00,4
4,3,3,KA ARGO,ARGO BROMO ANGGREK,SBI-GMR,21:15:00,05:00:00,6
5,4,4,KA ARGO,ARGO BROMO ANGGREK,GMR-SBI,20:30:00,04:15:00,8
6,5,5,KA ARGO,ARGO SEMERU,SGU-GMR,09:05:00,19:32:00,13
7,6,6,KA ARGO,ARGO SEMERU,GMR-SGU,06:20:00,16:38:00,15
8,7,7,KA ARGO,BIMA,SGU-GMR,19:20:00,05:45:00,20
9,8,8,KA ARGO,BIMA,GMR-SGU,17:00:00,03:20:00,22
10,9,9,KA ARGO,ARGO WILIS,SGU-BD,08:30:00,18:17:00,27
11,10,10,KA ARGO,ARGO WILIS,BD-SGU,07:35:00,17:15:00,29
12,11,11,KA ARGO,TURANGGA,SGU-BD,20:00:00,06:10:00,33
13,12,12,KA ARGO,TURANGGA,BD-SGU,17:40:00,03:40:00,35
14,13,13,KA ARGO,ARGO LAWU,SLO-GMR,08:30:00,15:25:00,39
15,14,14,KA ARGO,ARGO LAWU,GMR-SLO,20:45:00,03:40:00,41
16,15,15,KA ARGO,ARGO DWIPANGGA,SLO-GMR,20:35:00,03:30:00,45
17,16,16,KA ARGO,ARGO DWIPANGGA,GMR-SLO,08:50:00,15:45:00,47
18,17,17,KA ARGO,ARGO SINDORO,SMT-GMR,07:00:00,12:10:00,51
19,18,18,KA ARGO,ARGO SINDORO,GMR-SMT,16:45:00,21:55:00,52
20,19,19,KA ARGO,ARGO SINDORO,SMT-GMR,22:40:00,03:50:00,54
21,20,20,KA ARGO,ARGO MURIA,GMR-SMT,07:15:00,12:25:00,57
22,21,21,KA ARGO,ARGO MURIA,SMT-GMR,17:00:00,22:11:00,58
23,22,22,KA ARGO,ARGO MURIA,GMR-SMT,22:40:00,03:55:00,60
24,23,23,KA ARGO,ARGO MERBABU,SMT-GMR,05:50:00,11:10:00,63
25,24,24,KA ARGO,ARGO MERBABU,GMR-SMT,12:00:00,17:20:00,64
26,25,25,KA ARGO,ARGO MERBABU,SMT-GMR,19:00:00,00:20:00,66
27,26,26,KA ARGO,ARGO MERBABU,GMR-SMT,06:00:00,11:20:00,67
28,27,27,KA ARGO,ARGO MERBABU,SMT-GMR,14:00:00,19:16:00,69
29,28,28,KA ARGO,ARGO MERBABU,GMR-SMT,19:45:00,01:01:00,70
30,29,29F,KA ARGO,ARGO ANJASMORO,SBI-GMR,12:05:00,21:10:00,73
31,30,30F,KA ARGO,ARGO ANJASMORO,GMR-SBI,23:35:00,08:40:00,75
32,31,32,KA EKSEKUTIF,PANDALUNGAN,GMR-SBI,19:55:00,05:08:00,79
33,32,33,KA EKSEKUTIF,PANDALUNGAN,SBI-JR,05:15:00,09:00:00,81
34,33,34,KA EKSEKUTIF,PANDALUNGAN,JR-SBI,16:00:00,19:36:00,82
35,34,31,KA EKSEKUTIF,PANDALUNGAN,SBI-GMR,19:45:00,04:30:00,83
36,35,35,KA EKSEKUTIF,GAJAYANA,ML-GMR,14:55:00,03:05:00,87
37,36,36,KA EKSEKUTIF,GAJAYANA,GMR-ML,18:50:00,07:06:00,90
38,37,37,KA EKSEKUTIF,BRAWIJAYA,ML-GMR,16:00:00,04:10:00,95
39,38,38,KA EKSEKUTIF,BRAWIJAYA,GMR-ML,15:45:00,03:38:00,97
40,39,39,KA EKSEKUTIF,SEMBRANI,SBI-GMR,07:50:00,16:20:00,102
41,40,40,KA EKSEKUTIF,SEMBRANI,GMR-SBI,10:20:00,18:47:00,104
42,41,41,KA EKSEKUTIF,SEMBRANI,SBI-GMR,20:15:00,04:45:00,106
43,42,42,KA EKSEKUTIF,SEMBRANI,GMR-SBI,19:30:00,03:55:00,108
44,43,43,KA EKSEKUTIF,TAKSAKA,YK-GMR,07:30:00,13:35:00,113
45,44,44,KA EKSEKUTIF,TAKSAKA,GMR-YK,14:00:00,20:10:00,114
46,45,45,KA EKSEKUTIF,TAKSAKA,YK-GMR,21:05:00,03:15:00,116
2,46,46,KA EKSEKUTIF,TAKSAKA,GMR-YK,07:45:00,13:50:00,118
3,47,47,KA EKSEKUTIF,TAKSAKA,YK-GMR,14:45:00,20:54:00,120
4,48,48,KA EKSEKUTIF,TAKSAKA,GMR-YK,21:20:00,03:30:00,122
5,49,50F,KA EKSEKUTIF,PURWOJAYA,GMR-KYA,07:00:00,11:54:00,125
6,50,51F,KA EKSEKUTIF,PURWOJAYA,KYA-CP,12:14:00,12:51:00,126
7,51,52,KA EKSEKUTIF,PURWOJAYA,CP-KYA,14:15:00,14:59:00,126
8,52,49,KA EKSEKUTIF,PURWOJAYA,KYA-GMR,15:19:00,20:19:00,126
9,53,54,KA EKSEKUTIF,PURWOJAYA,GMR-KYA,20:55:00,01:37:00,128
10,54,55,KA EKSEKUTIF,PURWOJAYA,KYA-CP,01:57:00,02:35:00,129
11,55,56F,KA EKSEKUTIF,PURWOJAYA,CP-KYA,06:55:00,07:40:00,129
12,56,53F,KA EKSEKUTIF,PURWOJAYA,KYA-GMR,08:00:00,12:55:00,130
13,57,58F,KA EKSEKUTIF,PURWOJAYA,GMR-KYA,13:25:00,18:19:00,131
14,58,59F,KA EKSEKUTIF,PURWOJAYA,KYA-CP,18:39:00,19:17:00,132
15,59,60F,KA EKSEKUTIF,PURWOJAYA,CP-KYA,20:05:00,20:49:00,133
16,60,57F,KA EKSEKUTIF,PURWOJAYA,KYA-GMR,21:09:00,02:10:00,133
17,61,61,KA EKSEKUTIF,MANAHAN,SLO-GMR,09:50:00,17:31:00,136
18,62,62,KA EKSEKUTIF,MANAHAN,GMR-SLO,10:30:00,18:18:00,138
19,63,63,KA EKSEKUTIF,MANAHAN,SLO-GMR,22:35:00,06:33:00,140
20,64,64,KA EKSEKUTIF,MANAHAN,GMR-SLO,22:50:00,06:30:00,142
21,65,65F,KA EKSEKUTIF,ARJUNO EKSPRES,SGU-ML,10:10:00,12:06:00,146
