,0,1,2,3,4
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,1,Surabaya Pasarturi (SBI),,09:10:00,
2,2,Tandes (TES),Ls,09:15:00,
3,3,Kandangan (KDA),Ls,09:17:00,// KA 447 (KA 447 =)
4,4,Benowo (BNW),Ls,09:20:00,
5,5,Cerme (CME),Ls,09:23:00,
6,6,Duduk (DD),Ls,09:29:00,
7,7,Lamongan (LMG),Ls,09:36:00,
8,8,Surabayan (SBN),Ls,09:41:00,
9,9,Pucuk (PC),Ls,09:46:00,// KA 439 (KA 439 =)
10,10  Gembong (GEB),,Ls,09:49:00,
11,11  Babat (BBT),,Ls,09:52:00,
12,12  Bowerno (BWO),,Ls,09:57:00,
13,13,Sumberrejo (SRJ),Ls,10:05:00,
14,14  Kapas (KPS),,Ls,10:09:00,
15,15  Bojonegoro (BJ),,Ls,10:13:00,
16,16  Kalitidu (KIT),,Ls,10:22:00,
17,17,Tobo (TBO),Ls,10:31:00,
18,18  Cepu (CU),,Ls,10:35:00,// KA 2519 (KA 2519 =)
19,19  Kapuan (KPA),,Ls,10:39:00,
20,20  Wadu (WDU),,Ls,10:44:00,
21,,21  Randublatung (RBG),Ls,10:52:00,
22,22  Doplang (DPL),,Ls,11:00:00,
23,23,Sulur (SL),Ls,11:05:00,
24,24  Kradenan (KNN),,Ls,11:11:00,
25,25,Panunggalan (PNL),Ls,11:16:00,
26,26,Jambon (JBN),Ls,11:19:00,
27,27  Gambringan (GBN),,Ls,11:25:00,// KA 2523 (KA 2523 =)
28,28  Ngrombo (NBO),,Ls,11:27:00,
29,29,Sedadi (SDI),Ls,11:30:00,
30,30  Karangjati (KGT),,Ls,11:35:00,
31,31  Gubug (GUB),,Ls,11:42:00,
32,32,Tegowanu (TGW),Ls,11:46:00,
33,33  Brumbung (BBG),,Ls,11:51:00,
34,34  Alastua (ATA),,Ls,11:55:00,
35,35,Semarang Tawang (SMT),12:02:00,12:05:00,// KA 2509 (KA 2509 =)
36,36,Semarang Poncol (SMC),Ls,12:10:00,
37,37,Jerakah (JRK),Ls,12:14:00,
