,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
0,1,KA ARGO,ARGO BROMO ANGGREK,09:10:00,16:55:00,SBI,GMR,Surabaya Pasarturi,Gambir
1,2,KA ARGO,ARGO BROMO ANGGREK,08:20:00,16:05:00,GMR,SBI,Gambir,Surabaya Pasarturi
2,3,KA ARGO,ARGO BROMO ANGGREK,21:15:00,05:00:00,SBI,GMR,Surabaya Pasarturi,Gambir
3,4,KA ARGO,ARGO BROMO ANGGREK,20:30:00,04:15:00,GMR,SBI,Gambir,Surabaya Pasarturi
4,5,KA ARGO,ARGO SEMERU,09:05:00,19:32:00,SGU,GMR,Surabaya Gubeng,Gambir
5,6,KA ARGO,ARGO SEMERU,06:20:00,16:38:00,GMR,SGU,Gambir,Surabaya Gubeng
6,7,KA ARGO,BIMA,19:20:00,05:45:00,SGU,GMR,Surabaya Gubeng,Gambir
7,8,KA ARGO,BIMA,17:00:00,03:20:00,GMR,SGU,Gambir,Surabaya Gubeng
8,9,KA ARGO,ARGO WILIS,08:30:00,18:17:00,SGU,BD,Surabaya Gubeng,Bandung
9,10,KA ARGO,ARGO WILIS,07:35:00,17:15:00,BD,SGU,Bandung,Surabaya Gubeng
10,11,KA ARGO,TURANGGA,20:00:00,06:10:00,SGU,BD,Surabaya Gubeng,Bandung
11,12,KA ARGO,TURANGGA,17:40:00,03:40:00,BD,SGU,Bandung,Surabaya Gubeng
12,13,KA ARGO,ARGO LAWU,08:30:00,15:25:00,SLO,GMR,Solo Balapan,Gambir
13,14,KA ARGO,ARGO LAWU,20:45:00,03:40:00,GMR,SLO,Gambir,Solo Balapan
14,15,KA ARGO,ARGO DWIPANGGA,20:35:00,03:30:00,SLO,GMR,Solo Balapan,Gambir
15,16,KA ARGO,ARGO DWIPANGGA,08:50:00,15:45:00,GMR,SLO,Gambir,Solo Balapan
16,17,KA ARGO,ARGO SINDORO,07:00:00,12:10:00,SMT,GMR,Semarang Tawang,Gambir
17,18,KA ARGO,ARGO SINDORO,16:45:00,21:55:00,GMR,SMT,Gambir,Semarang Tawang
18,19,KA ARGO,ARGO SINDORO,22:40:00,03:50:00,SMT,GMR,Semarang Tawang,Gambir
19,20,KA ARGO,ARGO MURIA,07:15:00,12:25:00,GMR,SMT,Gambir,Semarang Tawang
