,train_number,train_class,train_name,departure_time,arrival_time,origin_station,destination_station
0,1,KA ARGO,ARGO BROMO ANGGREK,09:10:00,16:55:00,SBI,GMR
1,2,KA ARGO,ARGO BROMO ANGGREK,08:20:00,16:05:00,GMR,SBI
2,3,KA ARGO,ARGO BROMO ANGGREK,21:15:00,05:00:00,SBI,GMR
3,4,KA ARGO,ARGO BROMO ANGGREK,20:30:00,04:15:00,GMR,SBI
4,5,KA ARGO,ARGO SEMERU,09:05:00,19:32:00,SGU,GMR
5,6,KA ARGO,ARGO SEMERU,06:20:00,16:38:00,GMR,SGU
6,7,KA ARGO,BIMA,19:20:00,05:45:00,SGU,GMR
7,8,KA ARGO,BIMA,17:00:00,03:20:00,GMR,SGU
8,9,KA ARGO,ARGO WILIS,08:30:00,18:17:00,SGU,BD
9,10,KA ARGO,ARGO WILIS,07:35:00,17:15:00,BD,SGU
10,11,KA ARGO,TURANGGA,20:00:00,06:10:00,SGU,BD
11,12,KA ARGO,TURANGGA,17:40:00,03:40:00,BD,SGU
12,13,KA ARGO,ARGO LAWU,08:30:00,15:25:00,SLO,GMR
13,14,KA ARGO,ARGO LAWU,20:45:00,03:40:00,GMR,SLO
14,15,KA ARGO,ARGO DWIPANGGA,20:35:00,03:30:00,SLO,GMR
15,16,KA ARGO,ARGO DWIPANGGA,08:50:00,15:45:00,GMR,SLO
16,17,KA ARGO,ARGO SINDORO,07:00:00,12:10:00,SMT,GMR
17,18,KA ARGO,ARGO SINDORO,16:45:00,21:55:00,GMR,SMT
18,19,KA ARGO,ARGO SINDORO,22:40:00,03:50:00,SMT,GMR
19,20,KA ARGO,ARGO MURIA,07:15:00,12:25:00,GMR,SMT
20,21,KA ARGO,ARGO MURIA,17:00:00,22:11:00,SMT,GMR
21,22,KA ARGO,ARGO MURIA,22:40:00,03:55:00,GMR,SMT
22,23,KA ARGO,ARGO MERBABU,05:50:00,11:10:00,SMT,GMR
23,24,KA ARGO,ARGO MERBABU,12:00:00,17:20:00,GMR,SMT
24,25,KA ARGO,ARGO MERBABU,19:00:00,00:20:00,SMT,GMR
25,26,KA ARGO,ARGO MERBABU,06:00:00,11:20:00,GMR,SMT
26,27,KA ARGO,ARGO MERBABU,14:00:00,19:16:00,SMT,GMR
27,28,KA ARGO,ARGO MERBABU,19:45:00,01:01:00,GMR,SMT
28,29F,KA ARGO,ARGO ANJASMORO,12:05:00,21:10:00,SBI,GMR
29,30F,KA ARGO,ARGO ANJASMORO,23:35:00,08:40:00,GMR,SBI
