A,,,,
Nama stasiun,Provinsi,Daerah operasi/divisi regional,Singkatan stasiun,Status
Adan-Adan,Jawa Timur,Daop VII Madiun,ADN,Tidak beroperasi
Adi Soemarmo,Jawa Tengah,Daop VI Yogyakarta,SMO,Beroperasi
Ajung,Jawa Timur,Daop IX Jember,AJU,Tidak beroperasi
"Alastua
d.h. Allas-Toewa, Alastuwa",Jawa Tengah,Daop IV Semarang,ATA,Beroperasi
Alkmaar,Jawa Timur,Daop VIII Surabaya,-,Tidak beroperasi
"Ambarawa
d.h. Willem I",Jawa Tengah,Daop IV Semarang,ABR,Museum
Ambulu,Jawa Timur,Daop IX Jember,ABL,Tidak beroperasi
Ancol,DKI Jakarta,Daop I Jakarta,AC,Beroperasi
Andir,Jawa Barat,Daop II Bandung,AND,Beroperasi
Angke,DKI Jakarta,Daop I Jakarta,AK,Beroperasi
Anyer Kidul,Banten,Daop I Jakarta,ANK,Tidak beroperasi
Anyer Lor,Banten,Daop I Jakarta,ANL,Tidak beroperasi
Argopuro,Jawa Timur,Daop IX Jember,AGO,Beroperasi
Arjawinangun,Jawa Barat,Daop III Cirebon,AWN,Beroperasi
Arjasa,Jawa Timur,Daop IX Jember,AJ,Beroperasi
Awipari,Jawa Barat,Daop II Bandung,AW,Beroperasi
B,,,,
Nama stasiun,Provinsi,Daerah operasi/divisi regional,Singkatan stasiun,Status
Babadan,Jawa Timur,Daop VII Madiun,BBD,Beroperasi
"Babakan
d.h. Nieuw Tersana",Jawa Barat,Daop III Cirebon,BBK,Beroperasi
Babat,Jawa Timur,Daop VIII Surabaya,BBT,Beroperasi
Badas,Jawa Timur,Daop VII Madiun,BDS,Tidak beroperasi
Badegan,Jawa Timur,Daop VII Madiun,BAN,Tidak beroperasi
Bagor,Jawa Timur,Daop VII Madiun,BGR,Beroperasi
Balapulang,Jawa Tengah,Daop V Purwokerto,BLP,Tidak beroperasi
Balega,Jawa Timur,Daop VIII Surabaya,BGA,Tidak beroperasi
Balong,Jawa Timur,Daop VII Madiun,BLO,Tidak beroperasi
